date,total_value,eq,year,daily_ret
2024-03-19,839694.2057000061,1.0,2024,0.0006852423304033461
2024-03-20,841473.0057000059,1.0,2024,0.0021183902281627365
2024-03-21,839919.6057000059,1.0,2024,-0.0018460485238118718
2024-03-22,837725.305700006,1.0,2024,-0.0026125119417484965
2024-03-25,834329.305700006,1.0,2024,-0.0040538348034768745
2024-03-26,828340.7057000061,1.0,2024,-0.007177741401490634
2024-03-27,816080.005700006,1.0,2024,-0.0148015181623109
2024-03-28,821913.6057000059,1.0,2024,0.007148318742346893
2024-03-29,829474.7057000061,1.0,2024,0.00919938537038889
2024-04-01,833692.805700006,1.0,2024,0.005085266580178827
2024-04-02,833100.9874000059,1.0,2024,-0.0007098757431439617
2024-04-03,839936.9874000059,1.0,2024,0.008205487814069379
