date,total_value,cash,positions,is_rebalance,market_mode,nav,daily_return,benchmark
2021-11-22,1283983.057100003,6371.857100002933,{'511010': 10200},False,bear,1.2839830571000028,0.0003814588982058442,1.2047872340425532
2021-11-23,1284003.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2840034571000027,1.5888060116653335e-05,1.2055125725338491
2021-11-24,1284931.657100003,6371.857100002933,{'511010': 10200},False,bear,1.284931657100003,0.0007228952499056529,1.2081721470019342
2021-11-25,1285655.857100003,6371.857100002933,{'511010': 10200},False,bear,1.285655857100003,0.0005636097421979347,1.2035783365570598
2021-11-26,1288246.657100003,6371.857100002933,{'511010': 10200},True,bear,1.288246657100003,0.0020151582444807303,1.1934235976789167
2021-11-29,1286584.057100003,6371.857100002933,{'511010': 10200},False,bear,1.286584057100003,-0.0012905913559619897,1.1917311411992264
2021-11-30,1286767.657100003,6371.857100002933,{'511010': 10200},False,bear,1.286767657100003,0.0001427034626979573,1.1873791102514506
2021-12-01,1286165.857100003,6371.857100002933,{'511010': 10200},False,bear,1.286165857100003,-0.00046768349878822946,1.190522243713733
2021-12-02,1285492.657100003,6371.857100002933,{'511010': 10200},False,bear,1.285492657100003,-0.0005234161646290314,1.1929400386847195
2021-12-03,1283717.857100003,6371.857100002933,{'511010': 10200},True,bear,1.283717857100003,-0.001380637991354905,1.2038201160541586
2021-12-06,1286278.057100003,6371.857100002933,{'511010': 10200},False,bear,1.286278057100003,0.001994363470010141,1.2026112185686655
2021-12-07,1285696.657100003,6371.857100002933,{'511010': 10200},False,bear,1.285696657100003,-0.00045200180224702624,1.2093810444874273
2021-12-08,1286012.857100003,6371.857100002933,{'511010': 10200},False,bear,1.286012857100003,0.0002459367054068462,1.22678916827853
2021-12-09,1285553.857100003,6371.857100002933,{'511010': 10200},False,bear,1.285553857100003,-0.0003569171159261142,1.2470986460348163
2021-12-10,1286359.657100003,6371.857100002933,{'511010': 10200},True,bear,1.2863596571000029,0.0006268115455059231,1.2434719535783365
2021-12-13,1286318.857100003,6371.857100002933,{'511010': 10200},False,bear,1.286318857100003,-3.1717412602771944e-05,1.2466150870406187
2021-12-14,1288328.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2883282571000028,0.0015621321174827951,1.239119922630561
2021-12-15,1288440.457100003,6371.857100002933,{'511010': 10200},False,bear,1.288440457100003,8.708960575987135e-05,1.227998065764023
2021-12-16,1288042.657100003,6371.857100002933,{'511010': 10200},False,bear,1.288042657100003,-0.0003087453500919546,1.2345261121856865
2021-12-17,1289837.857100003,6371.857100002933,{'511010': 10200},True,bear,1.2898378571000029,0.0013937426606986936,1.2168762088974856
2021-12-20,1289593.057100003,6371.857100002933,{'511010': 10200},False,bear,1.289593057100003,-0.0001897912971404736,1.198742746615087
2021-12-21,1289072.857100003,6371.857100002933,{'511010': 10200},False,bear,1.289072857100003,-0.00040338306501885857,1.2038201160541586
2021-12-22,1289827.657100003,6371.857100002933,{'511010': 10200},False,bear,1.289827657100003,0.0005855371136260779,1.2045454545454546
2021-12-23,1290133.657100003,6371.857100002933,{'511010': 10200},False,bear,1.290133657100003,0.0002372409975206491,1.213733075435203
2021-12-24,1290041.857100003,6371.857100002933,{'511010': 10200},True,bear,1.290041857100003,-7.115541827384941e-05,1.2081721470019342
2021-12-27,1291174.057100003,6371.857100002933,{'511010': 10200},False,bear,1.291174057100003,0.0008776459413071258,1.2091392649903288
2021-12-28,1291786.057100003,6371.857100002933,{'511010': 10200},False,bear,1.2917860571000028,0.0004739872185586247,1.2154255319148937
2021-12-29,1292102.257100003,6371.857100002933,{'511010': 10200},False,bear,1.2921022571000031,0.000244777374908578,1.1992263056092842
2021-12-30,1295366.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2953662571000029,0.002526115856592792,1.2079303675048356
2021-12-31,1296457.657100003,6371.857100002933,{'511010': 10200},True,bear,1.296457657100003,0.0008425416317725531,1.2108317214700193
2022-01-04,1295835.457100003,6371.857100002933,{'511010': 10200},False,bear,1.295835457100003,-0.0004799231171126461,1.2064796905222437
2022-01-05,1294458.457100003,6371.857100002933,{'511010': 10200},False,bear,1.294458457100003,-0.0010626349143753044,1.1951160541586072
2022-01-06,1293754.657100003,6371.857100002933,{'511010': 10200},False,bear,1.293754657100003,-0.0005437022688058457,1.181576402321083
2022-01-07,1293856.657100003,6371.857100002933,{'511010': 10200},True,bear,1.293856657100003,7.884029590954356e-05,1.184477756286267
2022-01-10,1295325.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2953254571000028,0.0011352107607436324,1.1876208897485492
2022-01-11,1297079.857100003,6371.857100002933,{'511010': 10200},False,bear,1.2970798571000028,0.0013544086471732886,1.1767408123791103
2022-01-12,1297569.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2975694571000027,0.0003774632666755373,1.1893133462282397
2022-01-13,1297416.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2974164571000029,-0.00011791276309924825,1.1697292069632494
2022-01-14,1300435.657100003,6371.857100002933,{'511010': 10200},True,bear,1.300435657100003,0.0023270862516642232,1.159090909090909
2022-01-17,1300058.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3000582571000028,-0.00029021043674082314,1.1690038684719535
2022-01-18,1303791.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.3037914571000029,0.002871563623869866,1.1801257253384914
2022-01-19,1303179.457100003,6371.857100002933,{'511010': 10200},False,bear,1.303179457100003,-0.0004694002224566729,1.1557059961315281
2022-01-20,1302955.057100003,6371.857100002933,{'511010': 10200},False,bear,1.3029550571000028,-0.0001721942429169232,1.1648936170212765
2022-01-21,1306117.057100003,6371.857100002933,{'511010': 10200},True,bear,1.306117057100003,0.0024267913024089705,1.1566731141199225
2022-01-24,1310696.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3106968571000028,0.003506423850070828,1.1571566731141198
2022-01-25,1310360.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3103602571000028,-0.000256809954320647,1.1315280464216633
2022-01-26,1304413.657100003,6371.857100002933,{'511010': 10200},False,bear,1.304413657100003,-0.004538141299523568,1.1378143133462284
2022-01-27,1303873.057100003,6371.857100002933,{'511010': 10200},False,bear,1.3038730571000028,-0.0004144390830758127,1.118230174081238
2022-01-28,1306504.657100003,6371.857100002933,{'511010': 10200},True,bear,1.306504657100003,0.0020182946381706035,1.1010638297872342
2022-02-07,1305372.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.3053724571000027,-0.0008665870372887019,1.1184719535783365
2022-02-08,1306912.657100003,6371.857100002933,{'511010': 10200},False,bear,1.306912657100003,0.0011798931344253472,1.1131528046421664
2022-02-09,1307596.057100003,6371.857100002933,{'511010': 10200},False,bear,1.307596057100003,0.0005229117617671086,1.1225822050290135
2022-02-10,1308779.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3087792571000028,0.000904866601252996,1.1199226305609282
2022-02-11,1303261.057100003,6371.857100002933,{'511010': 10200},True,bear,1.303261057100003,-0.004216295429549377,1.1112185686653773
2022-02-14,1302128.857100003,6371.857100002933,{'511010': 10200},False,bear,1.302128857100003,-0.0008687438282851678,1.0993713733075434
2022-02-15,1302149.257100003,6371.857100002933,{'511010': 10200},False,bear,1.302149257100003,1.566665225860575e-05,1.1095261121856868
2022-02-16,1303138.657100003,6371.857100002933,{'511010': 10200},False,bear,1.303138657100003,0.000759820730692029,1.1146034816247583
2022-02-17,1303250.857100003,6371.857100002933,{'511010': 10200},False,bear,1.303250857100003,8.609981707530245e-05,1.1170212765957446
2022-02-18,1302455.2571000028,6371.857100002933,{'511010': 10200},True,bear,1.3024552571000028,-0.0006104734139754653,1.122823984526112
2022-02-21,1299578.857100003,6371.857100002933,{'511010': 10200},False,bear,1.2995788571000029,-0.0022084443855709956,1.118713733075435
2022-02-22,1298875.057100003,6371.857100002933,{'511010': 10200},False,bear,1.298875057100003,-0.0005415600570560786,1.1042069632495164
2022-02-23,1300231.657100003,6371.857100002933,{'511010': 10200},False,bear,1.300231657100003,0.0010444422599267256,1.1158123791102514
2022-02-24,1300680.457100003,6371.857100002933,{'511010': 10200},False,bear,1.300680457100003,0.00034516926083849597,1.0952611218568666
2022-02-25,1301465.857100003,6371.857100002933,{'511010': 10200},True,bear,1.3014658571000028,0.0006038377802268791,1.1037234042553192
2022-02-28,1301904.457100003,6371.857100002933,{'511010': 10200},False,bear,1.3019044571000031,0.00033700461491759093,1.105174081237911
2022-03-01,1299670.657100003,6371.857100002933,{'511010': 10200},False,bear,1.299670657100003,-0.0017157941105571117,1.1143617021276595
2022-03-02,1299089.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.2990892571000028,-0.00044734409969482414,1.105899419729207
2022-03-03,1299150.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.2991504571000028,4.710992694723082e-05,1.0988878143133463
2022-03-04,1298538.457100003,6371.857100002933,{'511010': 10200},True,bear,1.298538457100003,-0.0004710770770661732,1.0865570599613152
2022-03-07,1301241.4571000028,6371.857100002933,{'511010': 10200},False,bear,1.3012414571000028,0.002081571004093563,1.0507736943907156
2022-03-08,1302536.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3025368571000029,0.0009955108584436267,1.0309477756286267
2022-03-09,1299731.857100003,6371.857100002933,{'511010': 10200},False,bear,1.299731857100003,-0.0021534899259934015,1.0212765957446808
2022-03-10,1300262.257100003,6371.857100002933,{'511010': 10200},False,bear,1.300262257100003,0.0004080841729798834,1.0357833655705995
2022-03-11,1302577.657100003,6371.857100002933,{'511010': 10200},True,bear,1.302577657100003,0.0017807176878024134,1.0425531914893618
2022-03-14,1306259.857100003,6371.857100002933,{'511010': 10200},False,bear,1.306259857100003,0.0028268564103870464,1.0087040618955512
2022-03-15,1301506.657100003,6371.857100002933,{'511010': 10200},False,bear,1.301506657100003,-0.003638785938467559,0.9605899419729206
2022-03-16,1300853.857100003,6371.857100002933,{'511010': 10200},False,bear,1.300853857100003,-0.0005015725401316118,1.0024177949709865
2022-03-17,1301098.657100003,6371.857100002933,{'511010': 10200},False,bear,1.301098657100003,0.00018818409052157037,1.0227272727272727
2022-03-18,1302842.857100003,6371.857100002933,{'511010': 10200},True,bear,1.302842857100003,0.0013405593730206888,1.0294970986460348
2022-03-21,1302332.857100003,6371.857100002933,{'511010': 10200},False,bear,1.302332857100003,-0.0003914516606670082,1.0280464216634428
2022-03-22,1300853.857100003,6371.857100002933,{'511010': 10200},False,bear,1.300853857100003,-0.0011356543697234045,1.0270793036750483
2022-03-23,1301272.057100003,6371.857100002933,{'511010': 10200},False,bear,1.301272057100003,0.0003214811546412566,1.0331237911025144
2022-03-24,1302332.857100003,6371.857100002933,{'511010': 10200},False,bear,1.302332857100003,0.0008152023200775904,1.0265957446808511
2022-03-25,1303403.857100003,6371.857100002933,{'511010': 10200},True,bear,1.3034038571000028,0.0008223704056615766,1.0079787234042552
2022-03-28,1303454.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3034548571000029,3.912831753738466e-05,1.001934235976789
2022-03-29,1302863.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.302863257100003,-0.0004538707242351947,0.9975822050290136
2022-03-30,1302557.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3025572571000028,-0.00023486731883226586,1.0273210831721469
2022-03-31,1301527.057100003,6371.857100002933,{'511010': 10200},False,bear,1.3015270571000028,-0.000790905731310132,1.0198259187620888
2022-04-01,1303138.657100003,6371.857100002933,{'511010': 10200},True,bear,1.303138657100003,0.0012382378001354333,1.0321566731141198
2022-04-06,1304321.857100003,6371.857100002933,{'511010': 10200},False,bear,1.304321857100003,0.0009079617073390889,1.029255319148936
2022-04-07,1305800.857100003,6371.857100002933,{'511010': 10200},False,bear,1.305800857100003,0.0011339225758957294,1.0166827852998066
2022-04-08,1307545.057100003,6371.857100002933,{'511010': 10200},True,bear,1.307545057100003,0.001335732007308854,1.0234526112185685
2022-04-11,1304933.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3049338571000029,-0.001997024871778774,0.9915377176015474
2022-04-12,1305413.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3054132571000028,0.00036737494194949427,1.0084622823984526
2022-04-13,1305790.657100003,6371.857100002933,{'511010': 10200},False,bear,1.305790657100003,0.00028910385117320025,1.000725338491296
2022-04-14,1307840.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3078408571000029,0.0015700832203477955,1.0113636363636362
2022-04-15,1306698.457100003,6371.857100002933,{'511010': 10200},True,bear,1.306698457100003,-0.0008735007732767475,1.010880077369439
2022-04-18,1305188.857100003,6371.857100002933,{'511010': 10200},False,bear,1.305188857100003,-0.0011552780152127573,1.006044487427466
2022-04-19,1305688.657100003,6371.857100002933,{'511010': 10200},False,bear,1.305688657100003,0.0003829330884042026,0.9995164410058027
2022-04-20,1306055.857100003,6371.857100002933,{'511010': 10200},False,bear,1.306055857100003,0.000281230902943852,0.9825918762088974
2022-04-21,1304933.857100003,6371.857100002933,{'511010': 10200},False,bear,1.3049338571000029,-0.0008590750494327226,0.9661508704061895
2022-04-22,1304607.457100003,6371.857100002933,{'511010': 10200},True,bear,1.304607457100003,-0.00025012762005061084,0.968568665377176
2022-04-25,1304678.857100003,6371.857100002933,{'511010': 10200},False,bear,1.304678857100003,5.472910614701121e-05,0.9219052224371374
2022-04-26,1305413.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.3054132571000028,0.000562897142084573,0.9146518375241779
2022-04-27,1304995.057100003,6371.857100002933,{'511010': 10200},False,bear,1.3049950571000029,-0.00032035832157006894,0.9402804642166344
2022-04-28,1304301.457100003,6371.857100002933,{'511010': 10200},False,bear,1.3043014571000031,-0.0005314962660020184,0.9465667311411992
2022-04-29,1305637.657100003,6371.857100002933,{'511010': 10200},True,bear,1.305637657100003,0.00102445641897142,0.9707446808510637
2022-05-05,1305647.857100003,6371.857100002933,{'511010': 10200},False,bear,1.305647857100003,7.812274672502895e-06,0.9671179883945841
2022-05-06,1304678.857100003,6371.857100002933,{'511010': 10200},True,bear,1.304678857100003,-0.0007421602959256646,0.9436653771760155
2022-05-09,1305515.257100003,6371.857100002933,{'511010': 10200},False,bear,1.305515257100003,0.0006410773007077264,0.9359284332688588
2022-05-10,1308187.657100003,6371.857100002933,{'511010': 10200},False,bear,1.308187657100003,0.0020470078656424917,0.9468085106382979
2022-05-11,1307198.2571000028,6371.857100002933,{'511010': 10200},False,bear,1.307198257100003,-0.0007563135110091324,0.9601063829787234
